ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-10-12T22:00:00.000000000Z,33,1,158704,24542.000000000,24747.000000000,24542.000000000,24735.500000000,3153,NQ.v.0
2025-10-12T22:01:00.000000000Z,33,1,158704,24735.750000000,24743.500000000,24706.500000000,24727.000000000,2208,NQ.v.0
2025-10-12T22:02:00.000000000Z,33,1,158704,24727.000000000,24731.000000000,24692.500000000,24696.000000000,1061,NQ.v.0
2025-10-12T22:03:00.000000000Z,33,1,158704,24695.500000000,24752.000000000,24693.250000000,24729.500000000,1512,NQ.v.0
2025-10-12T22:04:00.000000000Z,33,1,158704,24732.250000000,24739.750000000,24681.750000000,24694.750000000,1052,NQ.v.0
2025-10-12T22:05:00.000000000Z,33,1,158704,24691.750000000,24702.750000000,24631.000000000,24667.250000000,882,NQ.v.0
2025-10-12T22:06:00.000000000Z,33,1,158704,24666.250000000,24698.750000000,24614.750000000,24681.000000000,1235,NQ.v.0
2025-10-12T22:07:00.000000000Z,33,1,158704,24681.000000000,24687.000000000,24648.000000000,24683.250000000,394,NQ.v.0
2025-10-12T22:08:00.000000000Z,33,1,158704,24686.500000000,24696.750000000,24683.000000000,24690.000000000,283,NQ.v.0
2025-10-12T22:09:00.000000000Z,33,1,158704,24688.000000000,24708.000000000,24684.750000000,24688.750000000,428,NQ.v.0
2025-10-12T22:10:00.000000000Z,33,1,158704,24686.750000000,24698.000000000,24684.000000000,24693.250000000,193,NQ.v.0
2025-10-12T22:11:00.000000000Z,33,1,158704,24695.000000000,24695.250000000,24666.750000000,24672.500000000,258,NQ.v.0
2025-10-12T22:12:00.000000000Z,33,1,158704,24671.500000000,24677.000000000,24666.000000000,24675.500000000,113,NQ.v.0
2025-10-12T22:13:00.000000000Z,33,1,158704,24677.000000000,24677.250000000,24653.500000000,24673.500000000,268,NQ.v.0
2025-10-12T22:14:00.000000000Z,33,1,158704,24673.750000000,24688.000000000,24670.250000000,24685.750000000,187,NQ.v.0
2025-10-12T22:15:00.000000000Z,33,1,158704,24685.750000000,24734.000000000,24685.750000000,24718.500000000,677,NQ.v.0
2025-10-12T22:16:00.000000000Z,33,1,158704,24719.000000000,24731.000000000,24713.000000000,24720.000000000,324,NQ.v.0
2025-10-12T22:17:00.000000000Z,33,1,158704,24720.750000000,24720.750000000,24700.000000000,24702.750000000,195,NQ.v.0
2025-10-12T22:18:00.000000000Z,33,1,158704,24701.000000000,24727.250000000,24700.500000000,24719.250000000,218,NQ.v.0
2025-10-12T22:19:00.000000000Z,33,1,158704,24719.000000000,24719.000000000,24700.500000000,24709.500000000,171,NQ.v.0
2025-10-12T22:20:00.000000000Z,33,1,158704,24708.250000000,24726.000000000,24703.250000000,24724.250000000,264,NQ.v.0
2025-10-12T22:21:00.000000000Z,33,1,158704,24722.500000000,24726.000000000,24718.000000000,24721.500000000,335,NQ.v.0
2025-10-12T22:22:00.000000000Z,33,1,158704,24721.500000000,24736.500000000,24716.000000000,24736.500000000,517,NQ.v.0
2025-10-12T22:23:00.000000000Z,33,1,158704,24737.000000000,24740.000000000,24726.000000000,24726.000000000,338,NQ.v.0
2025-10-12T22:24:00.000000000Z,33,1,158704,24725.250000000,24728.750000000,24711.750000000,24723.250000000,215,NQ.v.0
2025-10-12T22:25:00.000000000Z,33,1,158704,24725.500000000,24726.000000000,24715.500000000,24721.500000000,243,NQ.v.0
2025-10-12T22:26:00.000000000Z,33,1,158704,24721.500000000,24723.500000000,24681.000000000,24698.500000000,652,NQ.v.0
2025-10-12T22:27:00.000000000Z,33,1,158704,24699.000000000,24715.500000000,24698.000000000,24706.000000000,220,NQ.v.0
2025-10-12T22:28:00.000000000Z,33,1,158704,24707.750000000,24709.250000000,24690.000000000,24690.000000000,152,NQ.v.0
2025-10-12T22:29:00.000000000Z,33,1,158704,24692.250000000,24699.500000000,24680.750000000,24690.000000000,184,NQ.v.0
2025-10-12T22:30:00.000000000Z,33,1,158704,24690.250000000,24705.000000000,24685.000000000,24686.000000000,221,NQ.v.0
2025-10-12T22:31:00.000000000Z,33,1,158704,24685.000000000,24714.750000000,24684.000000000,24714.500000000,627,NQ.v.0
2025-10-12T22:32:00.000000000Z,33,1,158704,24711.000000000,24714.750000000,24694.250000000,24696.500000000,274,NQ.v.0
2025-10-12T22:33:00.000000000Z,33,1,158704,24697.250000000,24710.750000000,24695.000000000,24699.000000000,164,NQ.v.0
2025-10-12T22:34:00.000000000Z,33,1,158704,24699.000000000,24699.000000000,24685.500000000,24694.250000000,130,NQ.v.0
2025-10-12T22:35:00.000000000Z,33,1,158704,24690.750000000,24703.250000000,24681.500000000,24683.000000000,174,NQ.v.0
2025-10-12T22:36:00.000000000Z,33,1,158704,24683.250000000,24699.000000000,24681.250000000,24685.000000000,170,NQ.v.0
2025-10-12T22:37:00.000000000Z,33,1,158704,24685.000000000,24693.000000000,24670.500000000,24680.750000000,218,NQ.v.0
2025-10-12T22:38:00.000000000Z,33,1,158704,24683.250000000,24685.750000000,24670.750000000,24683.750000000,157,NQ.v.0
2025-10-12T22:39:00.000000000Z,33,1,158704,24683.750000000,24695.750000000,24679.000000000,24686.000000000,122,NQ.v.0
2025-10-12T22:40:00.000000000Z,33,1,158704,24685.000000000,24693.750000000,24681.000000000,24693.750000000,91,NQ.v.0
2025-10-12T22:41:00.000000000Z,33,1,158704,24692.500000000,24692.500000000,24673.000000000,24673.250000000,121,NQ.v.0
2025-10-12T22:42:00.000000000Z,33,1,158704,24673.000000000,24688.000000000,24668.500000000,24682.750000000,145,NQ.v.0
2025-10-12T22:43:00.000000000Z,33,1,158704,24684.500000000,24689.000000000,24681.500000000,24686.750000000,70,NQ.v.0
2025-10-12T22:44:00.000000000Z,33,1,158704,24684.250000000,24693.500000000,24684.250000000,24693.500000000,57,NQ.v.0
2025-10-12T22:45:00.000000000Z,33,1,158704,24693.500000000,24697.750000000,24685.000000000,24692.000000000,82,NQ.v.0
2025-10-12T22:46:00.000000000Z,33,1,158704,24693.000000000,24695.500000000,24688.750000000,24688.750000000,44,NQ.v.0
2025-10-12T22:47:00.000000000Z,33,1,158704,24691.750000000,24711.750000000,24690.750000000,24705.000000000,140,NQ.v.0
2025-10-12T22:48:00.000000000Z,33,1,158704,24704.750000000,24706.000000000,24682.000000000,24689.000000000,207,NQ.v.0
2025-10-12T22:49:00.000000000Z,33,1,158704,24686.500000000,24701.250000000,24672.000000000,24672.000000000,176,NQ.v.0
2025-10-12T22:50:00.000000000Z,33,1,158704,24670.750000000,24693.000000000,24670.750000000,24689.000000000,153,NQ.v.0
