ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-10-12T22:00:00.000000000Z,33,1,294973,6632.000000000,6675.250000000,6632.000000000,6668.000000000,9939,ES.v.0
2025-10-12T22:01:00.000000000Z,33,1,294973,6668.750000000,6671.000000000,6660.000000000,6666.750000000,4430,ES.v.0
2025-10-12T22:02:00.000000000Z,33,1,294973,6666.750000000,6668.250000000,6658.250000000,6659.500000000,1899,ES.v.0
2025-10-12T22:03:00.000000000Z,33,1,294973,6659.750000000,6673.500000000,6657.500000000,6668.500000000,2994,ES.v.0
2025-10-12T22:04:00.000000000Z,33,1,294973,6668.750000000,6669.750000000,6657.250000000,6659.250000000,2009,ES.v.0
2025-10-12T22:05:00.000000000Z,33,1,294973,6659.000000000,6661.250000000,6647.000000000,6651.750000000,2245,ES.v.0
2025-10-12T22:06:00.000000000Z,33,1,294973,6652.500000000,6658.500000000,6641.750000000,6653.500000000,2503,ES.v.0
2025-10-12T22:07:00.000000000Z,33,1,294973,6654.000000000,6655.750000000,6647.250000000,6655.000000000,1404,ES.v.0
2025-10-12T22:08:00.000000000Z,33,1,294973,6655.250000000,6658.250000000,6655.000000000,6657.000000000,745,ES.v.0
2025-10-12T22:09:00.000000000Z,33,1,294973,6657.000000000,6660.000000000,6655.750000000,6656.250000000,1113,ES.v.0
2025-10-12T22:10:00.000000000Z,33,1,294973,6656.250000000,6658.000000000,6655.750000000,6657.500000000,852,ES.v.0
2025-10-12T22:11:00.000000000Z,33,1,294973,6657.500000000,6657.500000000,6651.000000000,6653.000000000,855,ES.v.0
2025-10-12T22:12:00.000000000Z,33,1,294973,6653.000000000,6654.000000000,6651.000000000,6653.750000000,381,ES.v.0
2025-10-12T22:13:00.000000000Z,33,1,294973,6654.000000000,6654.000000000,6647.750000000,6653.250000000,930,ES.v.0
2025-10-12T22:14:00.000000000Z,33,1,294973,6653.750000000,6656.500000000,6652.500000000,6656.500000000,668,ES.v.0
2025-10-12T22:15:00.000000000Z,33,1,294973,6656.750000000,6665.000000000,6656.750000000,6662.000000000,2950,ES.v.0
2025-10-12T22:16:00.000000000Z,33,1,294973,6662.000000000,6664.500000000,6660.750000000,6663.250000000,1075,ES.v.0
2025-10-12T22:17:00.000000000Z,33,1,294973,6663.250000000,6663.250000000,6658.500000000,6659.500000000,447,ES.v.0
2025-10-12T22:18:00.000000000Z,33,1,294973,6659.500000000,6664.500000000,6659.500000000,6663.000000000,511,ES.v.0
2025-10-12T22:19:00.000000000Z,33,1,294973,6662.750000000,6662.750000000,6658.250000000,6661.000000000,537,ES.v.0
2025-10-12T22:20:00.000000000Z,33,1,294973,6661.000000000,6665.000000000,6659.500000000,6664.500000000,807,ES.v.0
2025-10-12T22:21:00.000000000Z,33,1,294973,6664.500000000,6665.000000000,6663.500000000,6664.500000000,1150,ES.v.0
2025-10-12T22:22:00.000000000Z,33,1,294973,6664.250000000,6667.500000000,6663.250000000,6667.250000000,1128,ES.v.0
2025-10-12T22:23:00.000000000Z,33,1,294973,6667.250000000,6668.000000000,6663.750000000,6663.750000000,694,ES.v.0
2025-10-12T22:24:00.000000000Z,33,1,294973,6663.750000000,6664.000000000,6660.500000000,6663.000000000,602,ES.v.0
2025-10-12T22:25:00.000000000Z,33,1,294973,6663.250000000,6663.750000000,6661.250000000,6663.000000000,283,ES.v.0
